"number_of_reviews","love","value_price","level","online","exclusives","limit"
9,2000,190,"median","0","0","0"
14,3000,140,"high","0","0","0"
9,2100,72,"high","0","0","1"
3,425,130,"median","0","0","0"
6,2300,72,"high","0","0","1"
3,664,180,"median","0","0","0"
0,60,94,"low","0","0","1"
1000,35300,79,"high","0","0","0"
133,8100,79,"high","0","0","0"
61,6500,79,"high","1","0","0"
579,9000,76,"high","0","0","0"
22,2400,85,"high","1","0","0"
118,7200,99,"high","0","0","0"
29,2500,76,"high","0","0","0"
12,1400,130,"high","1","0","0"
632,26600,135,"high","0","0","0"
122,6200,135,"high","0","0","0"
113,5600,135,"high","0","0","0"
81,2700,135,"high","0","0","0"
112,5200,135,"median","1","0","0"
73,5100,28,"high","0","1","0"
25,2800,135,"high","0","0","0"
38,2100,145,"high","0","0","0"
7,449,58,"median","0","0","0"
33,2200,145,"high","0","0","0"
32,1800,145,"high","0","0","0"
16,1700,135,"high","0","0","0"
19,1900,135,"high","0","0","0"
54,5400,35,"high","0","0","0"
22,2000,145,"high","0","0","0"
36,3900,78,"high","1","0","0"
55,3400,58,"high","1","0","0"
476,7800,62,"high","0","0","0"
329,4600,87,"high","0","0","0"
42,7300,295,"high","1","0","0"
191,7400,135,"high","0","0","0"
45,5900,240,"high","0","0","0"
14,4000,240,"high","1","0","0"
4,804,240,"high","1","0","0"
51,2600,135,"high","0","0","0"
6,1300,240,"high","0","0","0"
19,1500,135,"high","0","1","0"
5,1400,240,"high","1","0","0"
5,898,240,"high","0","0","0"
27,1200,135,"high","0","0","0"
6,2000,240,"high","1","0","0"
28,3100,135,"high","0","0","0"
10,1100,240,"high","1","0","0"
0,79,210,"low","1","0","1"
3000,43600,85,"high","0","1","0"
1000,27400,85,"high","0","1","0"
861,39500,99,"high","0","0","0"
515,7700,96,"high","0","0","0"
27,4300,99,"high","0","0","0"
85,5000,91,"high","0","0","0"
101,7000,65,"high","0","0","0"
8,883,133,"high","0","0","0"
57,4000,85,"high","0","0","0"
7,939,85,"high","0","0","0"
2,827,85,"high","0","0","0"
5,647,57,"median","0","0","0"
1,336,85,"median","0","0","0"
244,17600,130,"high","0","0","0"
817,37000,130,"high","0","0","0"
864,41900,130,"high","0","0","0"
232,6800,130,"high","0","0","0"
139,3700,130,"high","0","1","0"
108,11100,130,"high","0","0","0"
168,13700,130,"high","0","0","0"
195,5100,130,"high","0","0","0"
27,4700,30,"high","0","1","0"
315,11900,130,"high","0","0","0"
141,4400,130,"median","0","0","0"
23,2600,180,"median","0","0","0"
8,973,30,"high","0","1","0"
25,2300,30,"high","0","1","0"
1000,84800,106,"high","0","0","0"
923,44300,118,"high","0","0","0"
248,15300,106,"high","0","0","0"
282,24100,86,"high","0","0","0"
184,8000,106,"high","0","0","0"
13,1600,86,"high","0","1","1"
110,6300,99,"high","0","0","0"
5,1800,86,"high","0","1","1"
194,7400,95,"high","0","0","0"
65,6200,95,"high","0","0","0"
34,3100,62,"high","0","0","1"
4,1300,100,"high","0","1","1"
1,737,86,"high","0","1","1"
37,2000,62,"high","0","0","1"
21,1700,62,"high","0","0","1"
510,10900,118,"high","1","0","0"
50,5100,118,"high","1","0","0"
50,5000,112,"high","0","0","0"
70,3400,99,"high","0","0","0"
301,10300,126,"median","0","0","0"
82,7800,107,"high","0","0","0"
144,6600,126,"median","0","0","0"
16,2300,99,"high","0","0","0"
9,522,98,"high","0","0","0"
55,6500,76,"high","1","0","0"
119,15300,62,"high","0","0","0"
862,24800,120,"high","0","0","0"
1000,21500,84,"high","0","0","0"
33,2000,70,"high","0","0","0"
619,12400,58,"high","0","0","0"
16,1300,100,"high","1","0","0"
14,2400,128,"high","0","0","0"
312,10600,100,"high","0","0","0"
123,5800,74,"high","0","1","0"
41,2700,74,"high","0","1","0"
480,17700,74,"high","0","0","0"
88,5500,128,"high","1","0","0"
11,3000,27,"high","0","1","0"
206,10600,74,"high","0","0","0"
328,10600,74,"high","0","0","0"
265,8600,74,"high","0","0","0"
66,4800,74,"high","0","1","0"
133,6800,74,"high","0","0","0"
